transaction_id,customer_id,market,boutique,channel,category,transaction_date,amount_local,currency,amount_eur,piece_exceptionnelle
TXN000034,CUST00018,USA,New York 5th Ave,En ligne,Joaillerie,2026-05-27,4636.18,USD,4265.29,False
TXN000035,CUST00020,France (siège),Cannes,En ligne,Joaillerie,2026-06-12,4442.77,EUR,4442.77,False
TXN000036,CUST00021,Chine,Hong Kong,Boutique,Accessoires & Parfums,2026-06-18,4594.06,CNY,597.23,False
TXN000037,CUST00022,France (siège),Paris Vendôme,Boutique,Accessoires & Parfums,2026-02-09,703.65,EUR,703.65,False
TXN000038,CUST00022,France (siège),Paris Vendôme,En ligne,Accessoires & Parfums,2026-06-27,817.95,EUR,817.95,False
TXN000039,CUST00023,Japon,Tokyo Ginza,Boutique,Joaillerie,2025-04-12,1014303.66,JPY,6288.68,False
TXN000040,CUST00023,Japon,Tokyo Ginza,Boutique,Horlogerie,2025-10-20,4224571.68,JPY,26192.34,False
TXN000041,CUST00023,Japon,Tokyo Ginza,Boutique,Mariage,2026-04-03,1927092.02,JPY,11947.97,False
TXN000042,CUST00024,Moyen-Orient,Abu Dhabi,En ligne,Haute Joaillerie,2026-05-15,353791.76,AED,88447.94,False
TXN000043,CUST00025,USA,New York 5th Ave,Événement privé,Horlogerie,2026-01-25,33842.94,USD,31135.51,False
TXN000044,CUST00025,USA,New York 5th Ave,Boutique,Joaillerie,2026-05-29,17153.12,USD,15780.87,False
TXN000045,CUST00027,Japon,Osaka,Boutique,Joaillerie,2025-04-27,1224456.44,JPY,7591.63,False
TXN000046,CUST00027,Japon,Osaka,Boutique,Horlogerie,2025-09-30,5149895.21,JPY,31929.35,False
TXN000047,CUST00028,Moyen-Orient,Dubaï Mall,Boutique,Accessoires & Parfums,2025-12-04,3036.51,AED,759.13,False
TXN000048,CUST00029,France (siège),Paris Vendôme,Événement privé,Horlogerie,2026-03-09,36281.13,EUR,36281.13,False
TXN000049,CUST00029,France (siège),Paris Vendôme,En ligne,Accessoires & Parfums,2026-06-27,974.18,EUR,974.18,False
TXN000050,CUST00030,Moyen-Orient,Abu Dhabi,Boutique,Accessoires & Parfums,2025-03-06,4771.83,AED,1192.96,False
TXN000051,CUST00030,Moyen-Orient,Abu Dhabi,Boutique,Mariage,2025-07-14,52162.17,AED,13040.54,False
TXN000052,CUST00030,Moyen-Orient,Abu Dhabi,Boutique,Joaillerie,2025-11-19,88389.77,AED,22097.44,False
TXN000053,CUST00030,Moyen-Orient,Abu Dhabi,Boutique,Joaillerie,2026-02-21,117723.24,AED,29430.81,False
TXN000054,CUST00030,Moyen-Orient,Abu Dhabi,Boutique,Joaillerie,2026-06-26,90978.82,AED,22744.71,False
TXN000055,CUST00031,Moyen-Orient,Abu Dhabi,Boutique,Joaillerie,2025-09-06,31406.14,AED,7851.54,False
TXN000056,CUST00031,Moyen-Orient,Abu Dhabi,Boutique,Accessoires & Parfums,2026-02-12,1983.83,AED,495.96,False
TXN000057,CUST00031,Moyen-Orient,Abu Dhabi,Boutique,Joaillerie,2026-07-31,82754.09,AED,20688.52,False
TXN000058,CUST00032,USA,New York 5th Ave,Boutique,Joaillerie,2026-07-21,17218.33,USD,15840.87,False
TXN000059,CUST00033,Chine,Shanghai,Boutique,Mariage,2025-08-16,109816.98,CNY,14276.21,False
TXN000060,CUST00033,Chine,Shanghai,Boutique,Joaillerie,2026-01-16,125577.98,CNY,16325.14,False
TXN000061,CUST00033,Chine,Shanghai,Boutique,Haute Joaillerie,2026-07-16,304756.36,CNY,39618.33,False
TXN000062,CUST00034,France (siège),Paris Champs-Élysées,Boutique,Joaillerie,2026-01-21,13282.94,EUR,13282.94,False
TXN000063,CUST00034,France (siège),Paris Champs-Élysées,Boutique,Accessoires & Parfums,2026-05-07,746.98,EUR,746.98,False
TXN000064,CUST00035,Chine,Shanghai,Boutique,Accessoires & Parfums,2026-04-06,8004.22,CNY,1040.55,False
TXN000065,CUST00036,France (siège),Paris Vendôme,Boutique,Joaillerie,2025-03-18,17010.63,EUR,17010.63,False
TXN000066,CUST00036,France (siège),Paris Vendôme,Boutique,Accessoires & Parfums,2025-09-05,1271.35,EUR,1271.35,False
TXN000067,CUST00036,France (siège),Paris Vendôme,Boutique,Joaillerie,2026-02-07,20975.56,EUR,20975.56,False
TXN000068,CUST00036,France (siège),Paris Vendôme,Boutique,Accessoires & Parfums,2026-07-21,1409.25,EUR,1409.25,False
TXN000069,CUST00038,Moyen-Orient,Dubaï Mall,Boutique,Horlogerie,2025-12-29,143489.19,AED,35872.3,False
TXN000070,CUST00038,Moyen-Orient,Dubaï Mall,En ligne,Horlogerie,2026-06-09,137121.67,AED,34280.42,False
TXN000071,CUST00039,France (siège),Paris Vendôme,Événement privé,Joaillerie,2026-06-15,19000.14,EUR,19000.14,False
TXN000072,CUST00040,Moyen-Orient,Dubaï Mall,En ligne,Accessoires & Parfums,2025-09-03,3427.02,AED,856.76,False
TXN000073,CUST00040,Moyen-Orient,Dubaï Mall,Boutique,Accessoires & Parfums,2026-01-17,3662.67,AED,915.67,False
TXN000074,CUST00040,Moyen-Orient,Dubaï Mall,Boutique,Accessoires & Parfums,2026-06-25,4077.07,AED,1019.27,False
TXN000075,CUST00041,France (siège),Paris Vendôme,Boutique,Horlogerie,2025-05-16,20112.41,EUR,20112.41,False
TXN000076,CUST00041,France (siège),Paris Vendôme,Boutique,Joaillerie,2025-11-20,12803.03,EUR,12803.03,False
TXN000077,CUST00041,France (siège),Paris Vendôme,Événement privé,Accessoires & Parfums,2026-05-12,476.39,EUR,476.39,False
TXN000078,CUST00042,France (siège),Paris Vendôme,En ligne,Joaillerie,2026-05-30,7414.77,EUR,7414.77,False
TXN000079,CUST00044,USA,New York 5th Ave,Boutique,Accessoires & Parfums,2025-11-26,944.12,USD,868.59,False
TXN000080,CUST00044,USA,New York 5th Ave,Boutique,Mariage,2026-06-07,12905.56,USD,11873.11,False
TXN000081,CUST00045,Moyen-Orient,Dubaï Mall,Boutique,Mariage,2025-06-07,50120.4,AED,12530.1,False
TXN000082,CUST00045,Moyen-Orient,Dubaï Mall,Boutique,Joaillerie,2025-12-08,56799.04,AED,14199.76,False
TXN000083,CUST00045,Moyen-Orient,Dubaï Mall,En ligne,Accessoires & Parfums,2026-05-24,3876.05,AED,969.01,False
TXN000084,CUST00046,France (siège),Paris Champs-Élysées,Événement privé,Joaillerie,2025-08-04,9149.35,EUR,9149.35,False
TXN000085,CUST00046,France (siège),Paris Champs-Élysées,Boutique,Accessoires & Parfums,2026-01-14,418.48,EUR,418.48,False
TXN000086,CUST00046,France (siège),Paris Champs-Élysées,En ligne,Accessoires & Parfums,2026-07-17,827.66,EUR,827.66,False
TXN000087,CUST00047,USA,Bal Harbour,Boutique,Mariage,2026-05-10,14458.95,USD,13302.24,False
TXN000088,CUST00048,Chine,Shanghai,Boutique,Joaillerie,2025-08-04,87906.04,CNY,11427.79,False
TXN000089,CUST00048,Chine,Shanghai,Boutique,Horlogerie,2026-02-02,109896.95,CNY,14286.6,False
TXN000090,CUST00049,Moyen-Orient,Abu Dhabi,En ligne,Joaillerie,2025-10-12,81123.38,AED,20280.84,False
TXN000091,CUST00049,Moyen-Orient,Abu Dhabi,Événement privé,Accessoires & Parfums,2026-02-25,3825.22,AED,956.3,False
TXN000092,CUST00049,Moyen-Orient,Abu Dhabi,Boutique,Joaillerie,2026-07-30,65938.74,AED,16484.68,False
TXN000093,CUST00050,France (siège),Paris Champs-Élysées,En ligne,Joaillerie,2026-07-17,13012.48,EUR,13012.48,False
TXN000094,CUST00051,Chine,Shanghai,Boutique,Accessoires & Parfums,2025-08-03,7229.53,CNY,939.84,False
TXN000095,CUST00051,Chine,Shanghai,Événement privé,Accessoires & Parfums,2026-01-26,7848.34,CNY,1020.28,False
TXN000096,CUST00051,Chine,Shanghai,Boutique,Mariage,2026-07-25,97863.42,CNY,12722.24,False
TXN000097,CUST00052,Chine,Hong Kong,Boutique,Joaillerie,2025-09-03,179135.99,CNY,23287.68,False
TXN000098,CUST00052,Chine,Hong Kong,Événement privé,Haute Joaillerie,2025-12-28,1068436.63,CNY,138896.76,False
TXN000099,CUST00052,Chine,Hong Kong,Événement privé,Mariage,2026-04-18,100950.32,CNY,13123.54,False
TXN000100,CUST00053,USA,Beverly Hills,Boutique,Joaillerie,2025-05-07,17283.19,USD,15900.53,False
TXN000101,CUST00053,USA,Beverly Hills,Boutique,Accessoires & Parfums,2025-09-26,1252.42,USD,1152.22,False
TXN000102,CUST00053,USA,Beverly Hills,En ligne,Joaillerie,2026-01-14,10907.26,USD,10034.68,False
TXN000103,CUST00053,USA,Beverly Hills,Boutique,Horlogerie,2026-07-08,18662.16,USD,17169.19,False
TXN000104,CUST00054,Chine,Hong Kong,Boutique,Joaillerie,2025-04-09,121086.89,CNY,15741.3,False
TXN000105,CUST00055,Moyen-Orient,Dubaï Mall,Boutique,Joaillerie,2025-11-03,32190.85,AED,8047.71,False
TXN000106,CUST00055,Moyen-Orient,Dubaï Mall,Boutique,Mariage,2026-04-22,38327.91,AED,9581.98,False
TXN000107,CUST00056,Japon,Tokyo Ginza,En ligne,Accessoires & Parfums,2025-05-02,165086.51,JPY,1023.54,False
TXN000108,CUST00056,Japon,Tokyo Ginza,Boutique,Accessoires & Parfums,2025-10-29,104389.7,JPY,647.22,False
TXN000109,CUST00056,Japon,Tokyo Ginza,Boutique,Joaillerie,2026-04-14,2638236.64,JPY,16357.07,False
TXN000110,CUST00057,Japon,Tokyo Ginza,Boutique,Horlogerie,2026-02-17,4282734.05,JPY,26552.95,False
TXN000111,CUST00057,Japon,Tokyo Ginza,Boutique,Joaillerie,2026-06-22,2506918.19,JPY,15542.89,False
TXN000112,CUST00058,Chine,Shanghai,Événement privé,Horlogerie,2026-01-12,287653.52,CNY,37394.96,False
TXN000113,CUST00058,Chine,Shanghai,En ligne,Mariage,2026-06-11,107900.23,CNY,14027.03,False
TXN000114,CUST00059,USA,New York 5th Ave,En ligne,Joaillerie,2025-03-24,12293.38,USD,11309.91,False
TXN000115,CUST00059,USA,New York 5th Ave,Boutique,Horlogerie,2025-07-14,11915.26,USD,10962.04,False
TXN000116,CUST00059,USA,New York 5th Ave,En ligne,Joaillerie,2025-11-21,19933.31,USD,18338.64,False
TXN000117,CUST00059,USA,New York 5th Ave,En ligne,Joaillerie,2026-05-01,14312.63,USD,13167.62,False
TXN000118,CUST00061,USA,New York 5th Ave,Boutique,Horlogerie,2025-10-05,20316.66,USD,18691.33,False
TXN000119,CUST00061,USA,New York 5th Ave,Boutique,Accessoires & Parfums,2026-04-09,527.68,USD,485.46,False
TXN000120,CUST00062,Moyen-Orient,Dubaï Mall,Événement privé,Joaillerie,2026-03-27,83861.69,AED,20965.42,False
TXN000121,CUST00064,Chine,Hong Kong,Boutique,Accessoires & Parfums,2025-11-07,8231.67,CNY,1070.12,False
TXN000122,CUST00064,Chine,Hong Kong,Boutique,Horlogerie,2026-03-14,228006.89,CNY,29640.9,False
TXN000123,CUST00065,France (siège),Paris Champs-Élysées,En ligne,Horlogerie,2025-05-21,14816.17,EUR,14816.17,False
TXN000124,CUST00065,France (siège),Paris Champs-Élysées,Événement privé,Mariage,2025-12-22,12726.94,EUR,12726.94,False
TXN000125,CUST00065,France (siège),Paris Champs-Élysées,En ligne,Accessoires & Parfums,2026-06-18,879.77,EUR,879.77,False
TXN000126,CUST00066,France (siège),Cannes,Boutique,Horlogerie,2025-12-16,64296.05,EUR,64296.05,False
TXN000127,CUST00066,France (siège),Cannes,En ligne,Mariage,2026-06-11,13163.39,EUR,13163.39,False
TXN000128,CUST00067,Moyen-Orient,Dubaï Mall,Boutique,Accessoires & Parfums,2025-08-05,2245.64,AED,561.41,False
TXN000129,CUST00067,Moyen-Orient,Dubaï Mall,En ligne,Accessoires & Parfums,2026-01-03,3361.28,AED,840.32,False
TXN000130,CUST00067,Moyen-Orient,Dubaï Mall,Boutique,Accessoires & Parfums,2026-07-05,3858.01,AED,964.5,False
TXN000131,CUST00068,USA,Bal Harbour,Boutique,Accessoires & Parfums,2025-10-30,610.35,USD,561.52,False
TXN000132,CUST00069,Chine,Pékin,Boutique,Joaillerie,2025-08-29,132897.75,CNY,17276.71,False
TXN000133,CUST00069,Chine,Pékin,Événement privé,Mariage,2026-01-02,102912.85,CNY,13378.67,False
TXN000134,CUST00069,Chine,Pékin,Événement privé,Accessoires & Parfums,2026-04-16,8009.16,CNY,1041.19,False
TXN000135,CUST00070,USA,Beverly Hills,En ligne,Accessoires & Parfums,2025-12-24,1257.77,USD,1157.14,False
TXN000136,CUST00070,USA,Beverly Hills,Boutique,Horlogerie,2026-07-12,29261.91,USD,26920.96,False
TXN000137,CUST00072,USA,Bal Harbour,Boutique,Mariage,2026-07-26,11066.64,USD,10181.31,False
TXN000138,CUST00073,France (siège),Cannes,En ligne,Mariage,2025-08-26,14447.37,EUR,14447.37,False
TXN000139,CUST00073,France (siège),Cannes,En ligne,Accessoires & Parfums,2025-12-30,1278.83,EUR,1278.83,False
TXN000140,CUST00073,France (siège),Cannes,Boutique,Mariage,2026-05-12,7536.01,EUR,7536.01,False
TXN000141,CUST00074,USA,New York 5th Ave,Boutique,Joaillerie,2026-06-08,7289.91,USD,6706.71,False
TXN000142,CUST00075,Chine,Shanghai,Boutique,Accessoires & Parfums,2025-10-16,6518.77,CNY,847.44,False
TXN000143,CUST00075,Chine,Shanghai,Boutique,Accessoires & Parfums,2026-04-07,7435.76,CNY,966.65,False
TXN000144,CUST00076,USA,New York 5th Ave,En ligne,Horlogerie,2026-03-14,23056.12,USD,21211.63,False
TXN000145,CUST00078,Moyen-Orient,Dubaï Mall,Boutique,Accessoires & Parfums,2025-07-27,2486.15,AED,621.54,False
TXN000146,CUST00078,Moyen-Orient,Dubaï Mall,Boutique,Accessoires & Parfums,2026-01-31,3296.46,AED,824.12,False
TXN000147,CUST00079,France (siège),Paris Champs-Élysées,Boutique,Joaillerie,2026-05-28,13138.45,EUR,13138.45,False
TXN000148,CUST00080,Japon,Osaka,Boutique,Accessoires & Parfums,2025-03-04,138856.26,JPY,860.91,False
TXN000149,CUST00080,Japon,Osaka,Boutique,Joaillerie,2025-08-19,1999844.5,JPY,12399.04,False
TXN000150,CUST00080,Japon,Osaka,Boutique,Accessoires & Parfums,2026-01-24,135636.06,JPY,840.94,False
TXN000151,CUST00080,Japon,Osaka,En ligne,Mariage,2026-06-28,2284384.67,JPY,14163.18,False
TXN000152,CUST00081,USA,New York 5th Ave,Boutique,Joaillerie,2026-04-23,12745.17,USD,11725.56,False
TXN000153,CUST00082,Japon,Tokyo Ginza,En ligne,Joaillerie,2025-05-21,2417176.39,JPY,14986.49,False
TXN000154,CUST00082,Japon,Tokyo Ginza,Événement privé,Joaillerie,2025-09-28,3170697.66,JPY,19658.33,False
TXN000155,CUST00082,Japon,Tokyo Ginza,Boutique,Horlogerie,2026-01-20,6867337.13,JPY,42577.49,False
TXN000156,CUST00082,Japon,Tokyo Ginza,Boutique,Accessoires & Parfums,2026-05-29,223852.29,JPY,1387.88,False
TXN000157,CUST00083,France (siège),Paris Vendôme,Événement privé,Joaillerie,2025-03-08,17813.1,EUR,17813.1,False
TXN000158,CUST00083,France (siège),Paris Vendôme,Boutique,Accessoires & Parfums,2025-07-15,976.03,EUR,976.03,False
TXN000159,CUST00083,France (siège),Paris Vendôme,Boutique,Joaillerie,2025-10-22,18916.32,EUR,18916.32,False
TXN000160,CUST00083,France (siège),Paris Vendôme,En ligne,Accessoires & Parfums,2026-03-18,1297.27,EUR,1297.27,False
TXN000161,CUST00085,Japon,Osaka,Boutique,Joaillerie,2026-02-07,3235213.2,JPY,20058.32,False
TXN000162,CUST00085,Japon,Osaka,Boutique,Haute Joaillerie,2026-06-16,150055724.72,JPY,930345.49,True
TXN000163,CUST00086,USA,Bal Harbour,Boutique,Joaillerie,2025-10-28,15565.06,USD,14319.86,False
TXN000164,CUST00086,USA,Bal Harbour,Boutique,Mariage,2026-02-28,18936.48,USD,17421.57,False
TXN000165,CUST00087,Chine,Pékin,Boutique,Horlogerie,2025-02-28,126932.52,CNY,16501.23,False
TXN000166,CUST00088,USA,New York 5th Ave,Événement privé,Haute Joaillerie,2025-04-11,100003.51,USD,92003.23,False
TXN000167,CUST00088,USA,New York 5th Ave,Boutique,Joaillerie,2025-10-13,2026.85,USD,1864.7,False
TXN000168,CUST00088,USA,New York 5th Ave,Boutique,Accessoires & Parfums,2026-03-26,519.29,USD,477.75,False
TXN000169,CUST00089,Japon,Osaka,En ligne,Joaillerie,2025-08-21,2986138.44,JPY,18514.06,False
TXN000170,CUST00089,Japon,Osaka,Boutique,Accessoires & Parfums,2026-01-27,45506.43,JPY,282.14,False
TXN000171,CUST00089,Japon,Osaka,Boutique,Haute Joaillerie,2026-06-15,22041843.54,JPY,136659.43,False
TXN000172,CUST00090,Chine,Hong Kong,En ligne,Haute Joaillerie,2026-06-04,802020.78,CNY,104262.7,False
TXN000173,CUST00091,USA,Beverly Hills,Boutique,Accessoires & Parfums,2025-04-12,772.41,USD,710.61,False
TXN000174,CUST00091,USA,Beverly Hills,Boutique,Accessoires & Parfums,2025-09-16,878.47,USD,808.19,False
TXN000175,CUST00091,USA,Beverly Hills,En ligne,Horlogerie,2026-03-09,22485.69,USD,20686.83,False
TXN000176,CUST00092,USA,Beverly Hills,Boutique,Haute Joaillerie,2025-07-23,137290.49,USD,126307.25,False
TXN000177,CUST00092,USA,Beverly Hills,Boutique,Accessoires & Parfums,2026-01-14,741.77,USD,682.43,False
TXN000178,CUST00093,USA,Bal Harbour,Boutique,Joaillerie,2025-11-01,13213.18,USD,12156.13,False
TXN000179,CUST00094,USA,Beverly Hills,Boutique,Haute Joaillerie,2025-09-23,70922.56,USD,65248.75,False
TXN000180,CUST00094,USA,Beverly Hills,Événement privé,Horlogerie,2026-03-11,23069.21,USD,21223.67,False
TXN000181,CUST00095,Japon,Osaka,Boutique,Joaillerie,2025-12-06,3642897.72,JPY,22585.97,False
TXN000182,CUST00095,Japon,Osaka,Boutique,Joaillerie,2026-05-05,2954392.62,JPY,18317.23,False
TXN000183,CUST00096,Moyen-Orient,Dubaï Mall,En ligne,Accessoires & Parfums,2025-12-21,3542.21,AED,885.55,False
TXN000184,CUST00096,Moyen-Orient,Dubaï Mall,Boutique,Accessoires & Parfums,2026-07-11,3465.77,AED,866.44,False
TXN000185,CUST00097,Japon,Osaka,Boutique,Accessoires & Parfums,2026-07-12,131522.05,JPY,815.44,False
TXN000186,CUST00098,USA,Beverly Hills,Événement privé,Accessoires & Parfums,2025-02-01,935.79,USD,860.93,False
TXN000187,CUST00098,USA,Beverly Hills,Événement privé,Mariage,2025-06-08,16115.34,USD,14826.12,False
TXN000188,CUST00098,USA,Beverly Hills,Boutique,Mariage,2025-10-16,20372.29,USD,18742.51,False
TXN000189,CUST00098,USA,Beverly Hills,En ligne,Joaillerie,2026-02-18,15105.04,USD,13896.64,False
TXN000190,CUST00098,USA,Beverly Hills,Événement privé,Joaillerie,2026-06-27,18661.66,USD,17168.72,False
TXN000191,CUST00101,Chine,Pékin,Boutique,Joaillerie,2025-04-30,106968.7,CNY,13905.93,False
TXN000192,CUST00102,Chine,Shanghai,Événement privé,Accessoires & Parfums,2025-08-04,6518.32,CNY,847.38,False
TXN000193,CUST00102,Chine,Shanghai,Boutique,Horlogerie,2026-02-09,247155.78,CNY,32130.25,False
TXN000194,CUST00102,Chine,Shanghai,En ligne,Accessoires & Parfums,2026-07-30,3940.45,CNY,512.26,False
TXN000195,CUST00103,Chine,Pékin,Boutique,Joaillerie,2025-11-01,133008.85,CNY,17291.15,False
TXN000196,CUST00103,Chine,Pékin,Boutique,Accessoires & Parfums,2026-05-13,4239.97,CNY,551.2,False
TXN000197,CUST00104,Chine,Shanghai,Événement privé,Joaillerie,2025-11-24,135322.36,CNY,17591.91,False
TXN000198,CUST00104,Chine,Shanghai,En ligne,Mariage,2026-05-04,86450.08,CNY,11238.51,False
TXN000199,CUST00105,France (siège),Paris Vendôme,En ligne,Joaillerie,2025-08-24,14325.75,EUR,14325.75,False
TXN000200,CUST00105,France (siège),Paris Vendôme,Boutique,Joaillerie,2026-04-02,16842.61,EUR,16842.61,False
TXN000201,CUST00106,Moyen-Orient,Abu Dhabi,En ligne,Mariage,2026-06-17,55012.8,AED,13753.2,False
TXN000202,CUST00108,USA,Bal Harbour,En ligne,Joaillerie,2026-06-05,14098.92,USD,12971.01,False
TXN000203,CUST00110,France (siège),Paris Vendôme,En ligne,Accessoires & Parfums,2026-02-23,492.64,EUR,492.64,False
TXN000204,CUST00111,USA,Beverly Hills,Boutique,Haute Joaillerie,2026-02-10,118073.51,USD,108627.63,False
TXN000205,CUST00112,Moyen-Orient,Abu Dhabi,Boutique,Accessoires & Parfums,2026-05-16,2397.84,AED,599.46,False
TXN000206,CUST00113,Chine,Pékin,Boutique,Horlogerie,2025-12-12,154626.35,CNY,20101.43,False
TXN000207,CUST00113,Chine,Pékin,En ligne,Horlogerie,2026-06-13,136358.39,CNY,17726.59,False
TXN000208,CUST00114,France (siège),Cannes,En ligne,Accessoires & Parfums,2025-06-02,612.95,EUR,612.95,False
TXN000209,CUST00114,France (siège),Cannes,Boutique,Mariage,2025-11-18,7856.87,EUR,7856.87,False
TXN000210,CUST00114,France (siège),Cannes,Boutique,Accessoires & Parfums,2026-06-04,492.04,EUR,492.04,False
TXN000211,CUST00115,Moyen-Orient,Dubaï Mall,Boutique,Haute Joaillerie,2025-10-28,345835.77,AED,86458.94,False
TXN000212,CUST00115,Moyen-Orient,Dubaï Mall,Boutique,Horlogerie,2026-04-23,159029.93,AED,39757.48,False
TXN000213,CUST00116,France (siège),Cannes,Boutique,Horlogerie,2025-06-18,24062.0,EUR,24062.0,False
TXN000214,CUST00116,France (siège),Cannes,En ligne,Horlogerie,2025-11-07,32378.54,EUR,32378.54,False
TXN000215,CUST00116,France (siège),Cannes,Boutique,Horlogerie,2026-04-20,27924.8,EUR,27924.8,False
TXN000216,CUST00117,Moyen-Orient,Dubaï Mall,En ligne,Haute Joaillerie,2026-01-15,379262.81,AED,94815.7,False
TXN000217,CUST00117,Moyen-Orient,Dubaï Mall,En ligne,Accessoires & Parfums,2026-07-19,2983.81,AED,745.95,False
TXN000218,CUST00118,Moyen-Orient,Dubaï Mall,Boutique,Accessoires & Parfums,2026-03-10,2893.19,AED,723.3,False
TXN000219,CUST00119,France (siège),Paris Champs-Élysées,Boutique,Joaillerie,2025-11-16,9889.66,EUR,9889.66,False
TXN000220,CUST00119,France (siège),Paris Champs-Élysées,En ligne,Mariage,2026-05-16,9808.3,EUR,9808.3,False
TXN000221,CUST00120,Chine,Shanghai,En ligne,Accessoires & Parfums,2025-08-04,6151.57,CNY,799.7,False
TXN000222,CUST00120,Chine,Shanghai,Boutique,Horlogerie,2026-02-12,135155.49,CNY,17570.21,False
TXN000223,CUST00121,France (siège),Paris Champs-Élysées,Boutique,Accessoires & Parfums,2025-12-25,1083.89,EUR,1083.89,False
TXN000224,CUST00121,France (siège),Paris Champs-Élysées,En ligne,Accessoires & Parfums,2026-06-29,1299.93,EUR,1299.93,False
TXN000225,CUST00122,Moyen-Orient,Dubaï Mall,Boutique,Accessoires & Parfums,2025-09-30,3216.84,AED,804.21,False
TXN000226,CUST00122,Moyen-Orient,Dubaï Mall,Boutique,Mariage,2026-03-19,39045.93,AED,9761.48,False
TXN000227,CUST00123,Chine,Shanghai,En ligne,Joaillerie,2025-08-22,157869.58,CNY,20523.04,False
TXN000228,CUST00123,Chine,Shanghai,Événement privé,Joaillerie,2025-12-24,207996.4,CNY,27039.53,False
TXN000229,CUST00123,Chine,Shanghai,Boutique,Joaillerie,2026-05-10,110332.07,CNY,14343.17,False
