touchpoint_id,customer_id,touchpoint_date,type,market
TP000183,CUST00048,2025-07-22,Appel conseiller de vente,Chine
TP000184,CUST00048,2026-02-05,Événement VIC,Chine
TP000185,CUST00048,2026-01-28,Ouverture newsletter,Chine
TP000186,CUST00048,2026-01-19,Appel conseiller de vente,Chine
TP000187,CUST00049,2025-10-09,Événement VIC,Moyen-Orient
TP000188,CUST00049,2025-10-03,Ouverture newsletter,Moyen-Orient
TP000189,CUST00049,2025-10-12,Appel conseiller de vente,Moyen-Orient
TP000190,CUST00049,2026-02-23,Visite site e-commerce,Moyen-Orient
TP000191,CUST00049,2026-07-25,Appel conseiller de vente,Moyen-Orient
TP000192,CUST00049,2026-07-17,Appel conseiller de vente,Moyen-Orient
TP000193,CUST00049,2026-07-21,Événement VIC,Moyen-Orient
TP000194,CUST00050,2026-07-21,Appel conseiller de vente,France (siège)
TP000195,CUST00050,2026-07-01,Visite site e-commerce,France (siège)
TP000196,CUST00051,2025-07-17,Événement VIC,Chine
TP000197,CUST00051,2025-07-26,Événement VIC,Chine
TP000198,CUST00051,2025-07-20,Événement VIC,Chine
TP000199,CUST00051,2026-01-08,Ouverture newsletter,Chine
TP000200,CUST00051,2026-07-14,Ouverture newsletter,Chine
TP000201,CUST00051,2026-07-24,Appel conseiller de vente,Chine
TP000202,CUST00051,2026-07-13,Ouverture newsletter,Chine
TP000203,CUST00052,2025-08-15,Événement VIC,Chine
TP000204,CUST00052,2025-12-26,Visite site e-commerce,Chine
TP000205,CUST00052,2026-04-21,Rendez-vous boutique,Chine
TP000206,CUST00052,2026-04-03,Événement VIC,Chine
TP000207,CUST00053,2025-04-21,Rendez-vous boutique,USA
TP000208,CUST00053,2025-04-18,Visite site e-commerce,USA
TP000209,CUST00053,2025-09-15,Rendez-vous boutique,USA
TP000210,CUST00053,2025-09-27,Visite site e-commerce,USA
TP000211,CUST00053,2025-09-30,Visite site e-commerce,USA
TP000212,CUST00053,2025-12-25,Événement VIC,USA
TP000213,CUST00053,2026-01-12,Événement VIC,USA
TP000214,CUST00053,2026-01-03,Visite site e-commerce,USA
TP000215,CUST00053,2026-06-24,Appel conseiller de vente,USA
TP000216,CUST00053,2026-06-28,Appel conseiller de vente,USA
TP000217,CUST00054,2025-04-08,Ouverture newsletter,Chine
TP000218,CUST00054,2025-04-08,Rendez-vous boutique,Chine
TP000219,CUST00055,2025-10-24,Événement VIC,Moyen-Orient
TP000220,CUST00055,2026-04-15,Appel conseiller de vente,Moyen-Orient
TP000221,CUST00056,2025-04-25,Rendez-vous boutique,Japon
TP000222,CUST00056,2025-05-06,Événement VIC,Japon
TP000223,CUST00056,2025-04-13,Appel conseiller de vente,Japon
TP000224,CUST00056,2025-10-29,Visite site e-commerce,Japon
TP000225,CUST00056,2025-10-17,Événement VIC,Japon
TP000226,CUST00056,2026-03-29,Visite site e-commerce,Japon
TP000227,CUST00057,2026-02-04,Ouverture newsletter,Japon
TP000228,CUST00057,2026-02-05,Événement VIC,Japon
TP000229,CUST00057,2026-06-20,Visite site e-commerce,Japon
TP000230,CUST00057,2026-06-11,Visite site e-commerce,Japon
TP000231,CUST00058,2026-01-07,Rendez-vous boutique,Chine
TP000232,CUST00058,2026-01-15,Ouverture newsletter,Chine
TP000233,CUST00058,2026-01-14,Événement VIC,Chine
TP000234,CUST00058,2026-05-22,Événement VIC,Chine
TP000235,CUST00058,2026-06-10,Visite site e-commerce,Chine
TP000236,CUST00059,2025-03-28,Visite site e-commerce,USA
TP000237,CUST00059,2025-07-09,Visite site e-commerce,USA
TP000238,CUST00059,2025-07-04,Visite site e-commerce,USA
TP000239,CUST00059,2025-07-03,Rendez-vous boutique,USA
TP000240,CUST00059,2025-11-19,Visite site e-commerce,USA
TP000241,CUST00059,2025-11-02,Rendez-vous boutique,USA
TP000242,CUST00059,2026-04-20,Ouverture newsletter,USA
TP000243,CUST00061,2025-09-26,Visite site e-commerce,USA
TP000244,CUST00061,2025-10-01,Rendez-vous boutique,USA
TP000245,CUST00061,2025-09-20,Ouverture newsletter,USA
TP000246,CUST00061,2026-03-22,Appel conseiller de vente,USA
TP000247,CUST00061,2026-03-21,Rendez-vous boutique,USA
TP000248,CUST00061,2026-04-09,Visite site e-commerce,USA
TP000249,CUST00062,2026-03-10,Ouverture newsletter,Moyen-Orient
TP000250,CUST00062,2026-03-20,Visite site e-commerce,Moyen-Orient
TP000251,CUST00064,2025-10-18,Appel conseiller de vente,Chine
TP000252,CUST00064,2026-03-15,Visite site e-commerce,Chine
TP000253,CUST00065,2025-05-24,Rendez-vous boutique,France (siège)
TP000254,CUST00065,2025-05-09,Rendez-vous boutique,France (siège)
TP000255,CUST00065,2025-12-05,Événement VIC,France (siège)
TP000256,CUST00065,2026-06-03,Ouverture newsletter,France (siège)
TP000257,CUST00065,2026-06-16,Visite site e-commerce,France (siège)
TP000258,CUST00065,2026-06-02,Ouverture newsletter,France (siège)
TP000259,CUST00066,2025-12-13,Ouverture newsletter,France (siège)
TP000260,CUST00066,2025-12-11,Rendez-vous boutique,France (siège)
TP000261,CUST00066,2026-06-11,Ouverture newsletter,France (siège)
TP000262,CUST00066,2026-06-07,Ouverture newsletter,France (siège)
TP000263,CUST00066,2026-06-10,Visite site e-commerce,France (siège)
TP000264,CUST00067,2025-07-29,Appel conseiller de vente,Moyen-Orient
TP000265,CUST00067,2025-07-30,Ouverture newsletter,Moyen-Orient
TP000266,CUST00067,2025-12-20,Événement VIC,Moyen-Orient
TP000267,CUST00067,2025-12-16,Rendez-vous boutique,Moyen-Orient
TP000268,CUST00067,2026-01-06,Visite site e-commerce,Moyen-Orient
TP000269,CUST00067,2026-06-19,Ouverture newsletter,Moyen-Orient
TP000270,CUST00068,2025-10-30,Appel conseiller de vente,USA
TP000271,CUST00069,2025-08-26,Appel conseiller de vente,Chine
TP000272,CUST00069,2025-08-30,Appel conseiller de vente,Chine
TP000273,CUST00069,2026-01-03,Ouverture newsletter,Chine
TP000274,CUST00069,2026-04-15,Rendez-vous boutique,Chine
TP000275,CUST00069,2026-04-13,Rendez-vous boutique,Chine
TP000276,CUST00069,2026-04-10,Événement VIC,Chine
TP000277,CUST00070,2025-12-14,Ouverture newsletter,USA
TP000278,CUST00070,2026-06-27,Rendez-vous boutique,USA
TP000279,CUST00072,2026-07-25,Ouverture newsletter,USA
TP000280,CUST00072,2026-07-25,Événement VIC,USA
TP000281,CUST00072,2026-07-15,Ouverture newsletter,USA
TP000282,CUST00073,2025-08-10,Rendez-vous boutique,France (siège)
TP000283,CUST00073,2025-08-20,Événement VIC,France (siège)
TP000284,CUST00073,2025-08-16,Événement VIC,France (siège)
TP000285,CUST00073,2025-12-20,Appel conseiller de vente,France (siège)
TP000286,CUST00073,2026-01-02,Rendez-vous boutique,France (siège)
TP000287,CUST00073,2026-04-26,Rendez-vous boutique,France (siège)
TP000288,CUST00074,2026-05-28,Appel conseiller de vente,USA
TP000289,CUST00074,2026-05-19,Rendez-vous boutique,USA
TP000290,CUST00075,2025-09-29,Ouverture newsletter,Chine
TP000291,CUST00075,2025-09-29,Visite site e-commerce,Chine
TP000292,CUST00075,2025-09-28,Ouverture newsletter,Chine
TP000293,CUST00075,2026-04-05,Ouverture newsletter,Chine
TP000294,CUST00076,2026-03-02,Ouverture newsletter,USA
TP000295,CUST00076,2026-03-05,Visite site e-commerce,USA
TP000296,CUST00078,2025-07-07,Événement VIC,Moyen-Orient
TP000297,CUST00078,2025-07-12,Visite site e-commerce,Moyen-Orient
TP000298,CUST00078,2025-07-24,Appel conseiller de vente,Moyen-Orient
TP000299,CUST00078,2026-02-01,Appel conseiller de vente,Moyen-Orient
TP000300,CUST00078,2026-01-21,Visite site e-commerce,Moyen-Orient
TP000301,CUST00079,2026-05-31,Événement VIC,France (siège)
TP000302,CUST00079,2026-05-25,Rendez-vous boutique,France (siège)
TP000303,CUST00080,2025-02-28,Visite site e-commerce,Japon
TP000304,CUST00080,2025-03-04,Appel conseiller de vente,Japon
TP000305,CUST00080,2025-08-23,Rendez-vous boutique,Japon
TP000306,CUST00080,2026-01-14,Visite site e-commerce,Japon
TP000307,CUST00080,2026-06-19,Rendez-vous boutique,Japon
TP000308,CUST00081,2026-04-19,Visite site e-commerce,USA
TP000309,CUST00082,2025-05-11,Événement VIC,Japon
TP000310,CUST00082,2025-09-19,Événement VIC,Japon
TP000311,CUST00082,2026-01-12,Visite site e-commerce,Japon
TP000312,CUST00082,2026-01-13,Ouverture newsletter,Japon
TP000313,CUST00082,2026-01-15,Visite site e-commerce,Japon
TP000314,CUST00082,2026-05-22,Événement VIC,Japon
TP000315,CUST00082,2026-06-02,Visite site e-commerce,Japon
TP000316,CUST00082,2026-05-21,Événement VIC,Japon
TP000317,CUST00083,2025-02-24,Appel conseiller de vente,France (siège)
TP000318,CUST00083,2025-06-28,Ouverture newsletter,France (siège)
TP000319,CUST00083,2025-07-07,Visite site e-commerce,France (siège)
TP000320,CUST00083,2025-10-16,Ouverture newsletter,France (siège)
TP000321,CUST00083,2025-10-26,Rendez-vous boutique,France (siège)
TP000322,CUST00083,2026-03-07,Événement VIC,France (siège)
TP000323,CUST00083,2026-03-14,Visite site e-commerce,France (siège)
TP000324,CUST00083,2026-03-03,Appel conseiller de vente,France (siège)
TP000325,CUST00085,2026-01-31,Rendez-vous boutique,Japon
TP000326,CUST00085,2026-01-18,Visite site e-commerce,Japon
TP000327,CUST00085,2026-01-25,Rendez-vous boutique,Japon
TP000328,CUST00085,2026-06-16,Rendez-vous boutique,Japon
TP000329,CUST00086,2026-02-10,Visite site e-commerce,France (siège)
TP000330,CUST00086,2026-02-21,Rendez-vous boutique,France (siège)
TP000331,CUST00086,2026-02-23,Rendez-vous boutique,France (siège)
TP000332,CUST00086,2026-07-28,Appel conseiller de vente,France (siège)
TP000333,CUST00086,2026-07-28,Rendez-vous boutique,France (siège)
TP000334,CUST00087,2025-02-09,Visite site e-commerce,Chine
TP000335,CUST00088,2025-04-08,Visite site e-commerce,USA
TP000336,CUST00088,2025-10-08,Visite site e-commerce,USA
TP000337,CUST00088,2026-03-23,Ouverture newsletter,USA
TP000338,CUST00088,2026-03-10,Visite site e-commerce,USA
TP000339,CUST00089,2025-08-10,Rendez-vous boutique,Japon
TP000340,CUST00089,2025-08-22,Ouverture newsletter,Japon
TP000341,CUST00089,2026-01-20,Rendez-vous boutique,Japon
TP000342,CUST00089,2026-06-13,Rendez-vous boutique,Japon
TP000343,CUST00089,2026-06-02,Événement VIC,Japon
TP000344,CUST00089,2026-06-03,Rendez-vous boutique,Japon
TP000345,CUST00090,2026-05-26,Rendez-vous boutique,Chine
TP000346,CUST00090,2026-05-20,Événement VIC,Chine
TP000347,CUST00090,2026-06-01,Événement VIC,Chine
TP000348,CUST00091,2025-04-05,Appel conseiller de vente,USA
TP000349,CUST00091,2025-04-06,Rendez-vous boutique,USA
TP000350,CUST00091,2025-03-23,Ouverture newsletter,USA
TP000351,CUST00091,2025-09-04,Rendez-vous boutique,USA
TP000352,CUST00091,2025-09-20,Ouverture newsletter,USA
TP000353,CUST00091,2026-03-13,Ouverture newsletter,USA
TP000354,CUST00091,2026-02-18,Appel conseiller de vente,USA
TP000355,CUST00091,2026-02-28,Visite site e-commerce,USA
TP000356,CUST00092,2025-07-27,Appel conseiller de vente,USA
TP000357,CUST00092,2026-01-18,Visite site e-commerce,USA
TP000358,CUST00092,2025-12-31,Visite site e-commerce,USA
TP000359,CUST00092,2026-01-06,Ouverture newsletter,USA
TP000360,CUST00093,2025-10-23,Rendez-vous boutique,USA
TP000361,CUST00093,2025-10-24,Ouverture newsletter,USA
TP000362,CUST00093,2025-10-21,Appel conseiller de vente,USA
TP000363,CUST00094,2025-09-06,Visite site e-commerce,USA
TP000364,CUST00094,2025-09-08,Ouverture newsletter,USA
TP000365,CUST00094,2026-03-01,Ouverture newsletter,USA
TP000366,CUST00094,2026-03-08,Visite site e-commerce,USA
TP000367,CUST00094,2026-03-03,Appel conseiller de vente,USA
TP000368,CUST00095,2025-11-20,Visite site e-commerce,Japon
TP000369,CUST00095,2026-04-20,Appel conseiller de vente,Japon
TP000370,CUST00095,2026-04-22,Ouverture newsletter,Japon
TP000371,CUST00096,2025-12-24,Événement VIC,Moyen-Orient
TP000372,CUST00096,2026-07-07,Ouverture newsletter,Moyen-Orient
TP000373,CUST00097,2026-07-14,Visite site e-commerce,Japon
TP000374,CUST00097,2026-07-02,Ouverture newsletter,Japon
TP000375,CUST00097,2026-06-30,Ouverture newsletter,Japon
TP000376,CUST00098,2025-01-16,Rendez-vous boutique,USA
TP000377,CUST00098,2025-06-11,Visite site e-commerce,USA
TP000378,CUST00098,2025-09-26,Rendez-vous boutique,USA
TP000379,CUST00098,2026-02-20,Appel conseiller de vente,USA
TP000380,CUST00098,2026-06-24,Rendez-vous boutique,USA
TP000381,CUST00101,2025-04-14,Ouverture newsletter,Chine
TP000382,CUST00102,2025-08-01,Événement VIC,Chine
TP000383,CUST00102,2025-08-08,Ouverture newsletter,Chine
TP000384,CUST00102,2026-02-07,Rendez-vous boutique,Chine
TP000385,CUST00102,2026-02-01,Rendez-vous boutique,Chine
TP000386,CUST00102,2026-02-07,Visite site e-commerce,Chine
TP000387,CUST00102,2026-07-11,Rendez-vous boutique,Chine
TP000388,CUST00102,2026-07-12,Événement VIC,Chine
TP000389,CUST00102,2026-07-27,Appel conseiller de vente,Chine
TP000390,CUST00103,2025-10-29,Événement VIC,Chine
TP000391,CUST00103,2026-05-15,Rendez-vous boutique,Chine
TP000392,CUST00103,2026-05-16,Ouverture newsletter,Chine
TP000393,CUST00104,2025-11-08,Ouverture newsletter,Chine
TP000394,CUST00104,2026-05-05,Rendez-vous boutique,Chine
TP000395,CUST00104,2026-05-07,Rendez-vous boutique,Chine
TP000396,CUST00105,2025-08-21,Appel conseiller de vente,France (siège)
TP000397,CUST00105,2026-03-25,Ouverture newsletter,France (siège)
TP000398,CUST00105,2026-04-05,Appel conseiller de vente,France (siège)
TP000399,CUST00105,2026-03-13,Ouverture newsletter,France (siège)
TP000400,CUST00106,2026-06-21,Événement VIC,Moyen-Orient
TP000401,CUST00106,2026-05-31,Événement VIC,Moyen-Orient
TP000402,CUST00106,2026-06-17,Visite site e-commerce,Moyen-Orient
TP000403,CUST00108,2026-05-30,Rendez-vous boutique,USA
TP000404,CUST00110,2026-02-09,Événement VIC,France (siège)
TP000405,CUST00111,2026-02-09,Rendez-vous boutique,USA
TP000406,CUST00111,2026-01-23,Rendez-vous boutique,USA
TP000407,CUST00111,2026-02-08,Ouverture newsletter,USA
TP000408,CUST00112,2026-05-10,Rendez-vous boutique,Moyen-Orient
TP000409,CUST00113,2025-12-07,Ouverture newsletter,Chine
TP000410,CUST00113,2026-05-26,Rendez-vous boutique,Chine
TP000411,CUST00113,2026-05-30,Visite site e-commerce,Chine
TP000412,CUST00113,2026-06-06,Visite site e-commerce,Chine
TP000413,CUST00114,2025-05-19,Appel conseiller de vente,France (siège)
TP000414,CUST00114,2025-11-10,Visite site e-commerce,France (siège)
TP000415,CUST00114,2025-11-03,Visite site e-commerce,France (siège)
TP000416,CUST00114,2026-05-29,Rendez-vous boutique,France (siège)
TP000417,CUST00115,2025-10-31,Événement VIC,Moyen-Orient
TP000418,CUST00115,2025-10-28,Ouverture newsletter,Moyen-Orient
TP000419,CUST00115,2025-10-14,Visite site e-commerce,Moyen-Orient
TP000420,CUST00115,2026-04-20,Événement VIC,Moyen-Orient
TP000421,CUST00116,2025-06-01,Visite site e-commerce,France (siège)
TP000422,CUST00116,2025-06-20,Rendez-vous boutique,France (siège)
TP000423,CUST00116,2025-10-31,Rendez-vous boutique,France (siège)
TP000424,CUST00116,2025-10-18,Visite site e-commerce,France (siège)
TP000425,CUST00116,2025-11-09,Événement VIC,France (siège)
